用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
一个想做记者的编辑,"
                    一夜没睡，六点多起来上班，这就是成年人的世界，现在头疼、胃疼，人生第三个通宵，身体是不如以前了。想来第一个通宵是自己在县城的小宾馆里，等天一亮，坐车走了，怀着一点点期待，以为有人会在车站等我，跟我道歉，结果想多了。人生第二个通宵，考虑要不要原谅你，会不会重蹈覆辙，觉得还是爱，不如给一次机会，说服了自己。人生第三次通宵，也只是简单的不开心，你可能还莫名其妙，但我提前几天找同事找老师换班，只为了周末和你有一天同休息，一起陪陪彼此，可是从起床到睡觉，你都沉浸在游戏里，沉浸在和朋友聊天里，做好的早餐，我一个人先吃，电视剧一个人认真追，一整天，没有和我安静的、好好的说过话，没有想专门抽一个小时哪怕半小时和我聊聊天，在我不开心后，还说我阴晴不定，明知不开心了，不知道及时止损，还去拉别的妹子打游戏，睡前敷衍的哄一句，不搭理你就走了，玩好了倒头呼呼大睡，你已经不是以前的你了，不想说变了，可能是淡了，这样一说，四年后怕是肯定记得为什么不开心了。不过也应该记得吧，呵呵呵。早安啊，以后也要躲起来哭啊，明天再努力笑吧。 收起全文d
                ",  , , ,"
                        03月01日 08:15
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/5584647102/Iwyd3bm5i?refer_flag=1001030103_
QYH干巴迪,"
                    一夜没睡 就在选个破打印机以及打了一个通宵就升了一颗星的破王者 ​                ",  , , ,"
                        03月01日 08:15
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/3578753153/IwycY9quw?refer_flag=1001030103_
刘秋语2021,"
                    一夜没睡的我竟然做起了仰卧起坐果然我不是个正常人 ​                ",  , , ,"
                        03月01日 08:14
                        ",Yu_iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/2171832027/Iwycu1S6E?refer_flag=1001030103_
吹大了气球玩儿球球,"
                    基本上一夜没睡好多事儿吧经不起推敲往往是最不想出现的情况恰恰成了解释一切的钥匙3月你好，微风不燥，阳光正好一切都会过去，不过是回到原点罢了 ​                ",  , , ,"
                        03月01日 08:12
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/1834294761/IwybM0O6a?refer_flag=1001030103_
社会主义接班人嗷嗷嗷,"
                    一夜没睡迎来了生日月  愿一切安好 微博视频 ​                ",  , , ,"
                        03月01日 08:10
                        ",微博视频,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/1944210803/IwyaRggNr?refer_flag=1001030103_
tczdbyjkyl,"
                    @肖战工作室  醒了吗 起了吗 我们一夜没睡 你们起来干活了吗？！后援会新账号开好了吗？超话管理选好了新的了吗？别装死了好吗 别每次都躲在后面让老板替你们挡枪好吗？在装死和巴南赞比一起抱团卧轨吧 ​​​                ",  , , 28,"
                        03月01日 08:06
                        ",HUAWEI Mate 20 X 5G,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/2925210301/Iwy9p86Rv?refer_flag=1001030103_
_给你邮寄月光,"
                    一夜没睡 刚看完叶问4 说这是叶问系列的完结篇我却没想到结尾竟然只用了20分钟的时间就草草结束 我以为最后的结尾会是多年之后叶问的儿子在保护万会长的女儿 叶问死后李小龙会接过他的接力棒 然而并不是 结尾只有叶问的死讯和李小龙的哀悼 我希望这是叶问系列的结束 也可以是下一个武打动作片系列的开始 收起全文d
                ",  , 1, 3,"
                        03月01日 08:04
                        ",OPPO R15 梦镜版,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/5092820788/Iwy8BwckI?refer_flag=1001030103_
壮志凌云不用愁,"
                    #教师提前返岗#作为一名老师，因为职业的特殊性，会涉及到孩子的安全，所以我们愿意隔离14天，但这并不是在开学日期没确定的情况下提前返岗的理由，真的太让人寒心了，想想都委屈😣，一夜没睡，真的不想当老师了，太卑微了 ​                ",  , , 43,"
                        03月01日 08:00
                        ",HUAWEI Mate 20,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/3802403689/Iwy771WfA?refer_flag=1001030103_
yan123216,"
                    为了追剧一夜没睡～好困，准备睡觉了！ 2邢台·清河县 ​                ",  , , ,"
                        03月01日 08:00
                        ",OPPO超视野全面屏R15,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/2754974515/Iwy6Qc5cP?refer_flag=1001030103_
绿海子的日常废话博,"
                    别以为我起得早，其实我是一夜没睡。 ​                ",  , , 1,"
                        03月01日 07:58
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/3987671862/Iwy6ibOuY?refer_flag=1001030103_
雪翼飞马,"
                    气得一夜没睡 ​                ",  , , ,"
                        03月01日 07:49
                        ",Android,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/1442758073/Iwy2AivwK?refer_flag=1001030103_
Cruel爱笑的笑笑啊0707,"
                    基本一夜没睡，我除了眼睛疼点之外，啥事都没有，今天晚上脑子在多想，我炖了他，气死我了，以前从来不这样的～我特么的快精神失调，精神分裂了～晚上一个人睡觉我竟然会害怕到睡不着这个怎么办  ​​ 2永城市 ​                ",  , 1, 3,"
                        03月01日 07:48
                        ",iPhone X,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/5388379144/Iwy2ckSw2?refer_flag=1001030103_
人家是小小小可爱啦,"
                    想了好久  一夜没睡 是不是演魏无羡的人最终都会变成魏无羡  那些在这个时候跳出来的路人们可能会觉得此刻踩上一脚更能显示你的高贵可是肖战他从始至终什么都没有做承担了这么多的谩骂！心态有点崩 追星本来是一个开心的过程是一个让我们和爱豆一起变优秀的过程而不是像现在只有无尽的反黑 争吵和哭泣 我想我要平复我的心情逃离微博几天 收起全文d
                ",  1, 64, 177,"
                        03月01日 07:48
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/5719738535/Iwy20galn?refer_flag=1001030103_
我豪老公爱吃酸菜鱼,"
                    我一夜没睡了，好累。 ​                ",  , , ,"
                        03月01日 07:47
                        ",愿豪平安的Android,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/5678842711/Iwy1PzRQn?refer_flag=1001030103_
王王大帅zz,"
                    反黑9小时，一夜没睡，只是因为你值得，只是想澄清一个事实，怎么那么难 ​                ",  , 1, 5,"
                        03月01日 07:45
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/5688559451/Iwy10cEKx?refer_flag=1001030103_
Rffuu,"
                    胃疼了一夜没睡 我现在要起床上班 ​                ",  , , ,"
                        03月01日 07:36
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/5997694598/IwxXpFgEh?refer_flag=1001030103_
皮痒咚呱,"
                    不是一夜没睡，只是从九点到现在睡的很零散 ​                ",  , , ,"
                        03月01日 07:34
                        ",让我康康iPhone 7 Plus,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=24,https://weibo.com/3786845371/IwxWCBPaF?refer_flag=1001030103_
我是小果豆啊,"
                    博君一肖    一夜没睡，老年人要去熬个粥吃早饭了，去去就来！ ​                ",  , 10, 17,"
                        03月01日 07:33
                        ",博君一肖超话,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/2014014890/IwxW5dzfa?refer_flag=1001030103_
九lou鱼不是yu,"
                    #肖战#哥哥早安，一夜没睡，因为想要保护你呀 ​                ",  , , ,"
                        03月01日 07:29
                        ",iPhone 6s Plus,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/5650666716/IwxUuhhgX?refer_flag=1001030103_
做正能量的国民,"
                    真的气的一夜没睡，不仅仅是一个条例的问题，而是失望，深深的失望，当你对国家爱的越深，就越难过，民心没了，凝聚力也没了，那么多革命烈士牺牲了，为了什么？那么多前辈一生都奉献给了国家为了什么？那么多边防战士那么多警察那么多医生守护的是什么？是我们中华民族！是为了我们伟大中华民族文明复兴！现在呢？客观事实是国外很多发达国家排华瞧不起中国人，中国国内外国人却高人一等，哪怕是落后国家素质差的垃圾来了也能在国内吐气扬眉，凭什么？我们很有钱吗？很发达吗？我们山村里的孩子吃饱了吗？穿暖了吗？你要是高端人才来真的对中国友好，我们欢迎，但如果你觉得中国人好欺负是SB，中国女人好骗，那么请你滚回去！可以做朋友也可以当对手，但是你带一大家子到我们家来定居那就不好意思了，滚，我们家还有很多人口没有房子住没有学上呢？政策优先你个鬼！洋奴才！ 2合肥·香江·生态丽景 收起全文d
                ",  , , 5,"
                        03月01日 07:28
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/5492522619/IwxU9gYUw?refer_flag=1001030103_
歆心向荣,"
                    十二点以后越来越清醒可还行？愣是一夜没睡在家怕不是待出时差来了不行我得把作息调整过来！早安 ​                ",  , , 1,"
                        03月01日 07:25
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/1810342872/IwxSSnGlZ?refer_flag=1001030103_
漫才高手,"
                    一夜没睡，面对太阳，满满正能量！ ​                ",  , , 2,"
                        03月01日 07:22
                        ",饭★杀必死Android,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/6671142341/IwxRx4cgG?refer_flag=1001030103_
娜娜6008098018,"
                    一夜没睡    我不知道 我带他回来睡觉 他瞎激动什么 在屋里溜了一夜 真的是一夜他都没老实  我一夜都没睡 只要他一动 我就起来看他 怕他咬东西   半夜还为了他 折腾换床     好不容易 逮到他 没打两下 我弟就护着不让打            刚刚老妈开门 说让他去客厅 好了 我要关门睡觉了  ​                ",  , , ,"
                        03月01日 07:22
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/6008098018/IwxRnkoVp?refer_flag=1001030103_
柠了个萌萌萌,"
                    一夜没睡 头蒙 瞌睡的睁不开眼 一会儿还得去卡点值班 ​                ",  , , ,"
                        03月01日 07:21
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/1573501467/IwxRaiz5f?refer_flag=1001030103_
龙城大学大三生,"
                    气的一夜没睡恶心如此粉丝如此正主娱乐圈独一份多行不义必自毙且等着 ​                ",  , , ,"
                        03月01日 07:21
                        ",全屏双摄 OPPO A5,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/6062482086/IwxR21Icc?refer_flag=1001030103_
瘋狂嗑甜,"
                    谁能想到，一夜没睡教会我的竟然是怎么做微博版头？一口气给自己来了7456个。 ​                ",  , 3, ,"
                        03月01日 07:19
                        ",,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/5364071627/IwxQp0x2o?refer_flag=1001030103_
浅浅只喜欢小赞,"
                    明星权力榜人气榜为肖战签到，整整一夜没睡，一直在一直爱，脱粉算我输@X玖少年团肖战DAYTOY ​                ",  , , 5,"
                        03月01日 07:19
                        ",明星权力榜人气榜超话,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/1778454644/IwxQfxIgA?refer_flag=1001030103_
Colasprite-,"
                    一夜没睡……还得从一杯咖啡说起… ​                ",  , , ,"
                        03月01日 07:18
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/3926981343/IwxPPglBK?refer_flag=1001030103_
我不知道我爱不爱这个世界,"
                    现在早上七点十二分，我一夜没睡。。山河枕看到163章节 ​                ",  , 7, 1,"
                        03月01日 07:13
                        ",MEIZU M15,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/5973085960/IwxNIldT2?refer_flag=1001030103_
赖床时限,"
                    一夜没睡 我的心死了 什么都没了 没了就没了吧 课还要上 生活还要继续 我还有小刘呢  但是dbq我真的太难受了 我什么都不想看了 我只看小刘 我现在唯一的快乐了 ​                ",  , 4, 1,"
                        03月01日 07:12
                        ",兔兔是刘也的椰汁,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/5654150262/IwxNoesjI?refer_flag=1001030103_
阳栩_,"
                    一夜没睡，各种抢救还能下下来的文。原耽被条条框框搞的没几篇新文能看，lofter动不动就屏蔽，现在连ao3都墙了。游戏，小说，我人生最大的两个快乐源泉，被一再阉割。这日子什么时候是个头啊。 ​                ",  , , ,"
                        03月01日 07:09
                        ",Share微博客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=25,https://weibo.com/2798303634/IwxMdfesy?refer_flag=1001030103_
